"duration"	"psurvive"	"log10p"
0.86	0.7433	-0.128835867197051
0.862	0.7429	-0.129069641651304
0.864	0.7425	-0.12930354201075
0.866	0.7421	-0.12953756841108
0.868	0.7411	-0.130123186733233
0.87	0.7402	-0.130650919240907
0.872	0.7399	-0.130826972678317
0.874	0.7394	-0.131120553762912
0.876	0.7387	-0.131531900979013
0.878	0.7381	-0.131884794672783
0.88	0.7377	-0.13212021654162
0.882	0.7374	-0.132296866729902
0.884	0.737	-0.132532512140949
0.886	0.7367	-0.132709330145116
0.888	0.7361	-0.133063182268361
0.89	0.7356	-0.13335827943396
0.892	0.7354	-0.133476374467156
0.894	0.7349	-0.133771752620353
0.896	0.7348	-0.133830852366229
0.898	0.7345	-0.134008199873725
0.9	0.7343	-0.134126471792185
0.902	0.734	-0.134303940083929
0.904	0.7337	-0.134481480925226
0.906	0.733	-0.134896025358872
0.908	0.7326	-0.135133085671474
0.91	0.7322	-0.135370275454488
0.912	0.7316	-0.135726303195621
0.914	0.7312	-0.135963817274225
0.916	0.7304	-0.136439235473757
0.918	0.7299	-0.136736636349519
0.92	0.7294	-0.137034241022237
0.922	0.7293	-0.137093786437002
0.924	0.7287	-0.137451230475207
0.926	0.7281	-0.137808968948403
0.928	0.7275	-0.138167002342055
0.93	0.7268	-0.138585081364003
0.932	0.7264	-0.138824164486971
0.934	0.726	-0.139063379299906
0.936	0.7257	-0.139242876918458
0.938	0.7251	-0.139602094872687
0.94	0.7248	-0.139781815331243
0.942	0.7243	-0.140081514799284
0.944	0.7235	-0.140561464544944
0.946	0.7229	-0.140921775253031
0.948	0.7222	-0.141342515909192
0.95	0.7216	-0.141703475466115
0.952	0.7209	-0.142124974476437
0.954	0.7204	-0.142426295852504
0.956	0.7196	-0.142908845326486
0.958	0.7191	-0.143210711246684
0.96	0.7185	-0.143573227529756
0.962	0.7177	-0.144057053767684
0.964	0.7171	-0.144420277498282
0.966	0.7162	-0.144965683324116
0.968	0.7155	-0.145390361904205
0.97	0.715	-0.145693958198919
0.972	0.7147	-0.145876217898833
0.974	0.7141	-0.146240966925231
0.976	0.7135	-0.146606022549334
0.978	0.7131	-0.146849563552157
0.98	0.7123	-0.147337055655431
0.982	0.7118	-0.147642016332173
0.984	0.7114	-0.147886139150238
0.986	0.7101	-0.148680487351255
0.988	0.7098	-0.148864004988426
0.99	0.7094	-0.149108815864076
0.992	0.709	-0.149353764816933
0.994	0.7086	-0.149598852002842
0.996	0.7076	-0.150212175762314
0.998	0.7072	-0.150457747994983
1	0.7065	-0.150887833815423
1.002	0.7055	-0.151502981909633
1.004	0.705	-0.151810883008601
1.006	0.7044	-0.152180652704761
1.008	0.7041	-0.152365655681745
1.01	0.7038	-0.152550737500827
1.012	0.7032	-0.152921137934284
1.014	0.7026	-0.153291854543993
1.016	0.7018	-0.153786636120613
1.018	0.7011	-0.154220032888111
1.02	0.7007	-0.154467882506425
1.022	0.7001	-0.154839922348054
1.024	0.6997	-0.155088126087859
1.026	0.6992	-0.155398580373653
1.028	0.6988	-0.155647103689107
1.03	0.6981	-0.156082361993608
1.032	0.6974	-0.156518056960042
1.034	0.6971	-0.156704917263493
1.036	0.6966	-0.157016529877783
1.038	0.6961	-0.157328366239212
1.04	0.6956	-0.157640426669325
1.042	0.6952	-0.15789023655939
1.044	0.695	-0.158015195409886
1.046	0.6948	-0.158140190224939
1.048	0.6939	-0.158703112509718
1.05	0.693	-0.159266765388193
1.052	0.6926	-0.159517512786558
1.054	0.6921	-0.159831150759244
1.056	0.6914	-0.160270624793612
1.058	0.6908	-0.160647671104579
1.06	0.6902	-0.161025045044532
1.062	0.6898	-0.161276809968628
1.064	0.6891	-0.161717750085311
1.066	0.6885	-0.162096055407058
1.068	0.6882	-0.162285331715089
1.07	0.6877	-0.162600975657977
1.072	0.6872	-0.162916849176814
1.074	0.6868	-0.163169713511121
1.076	0.6861	-0.163612580673589
1.078	0.6853	-0.164119268182605
1.08	0.6849	-0.164372833790102
1.082	0.6841	-0.16488040957545
1.084	0.6838	-0.165070903539424
1.086	0.6832	-0.165452142319051
1.088	0.6822	-0.166088284928622
1.09	0.6818	-0.166343003107128
1.092	0.6815	-0.166534139829308
1.094	0.6814	-0.166597870768141
1.096	0.6812	-0.166725360709437
1.098	0.6807	-0.167044249395402
1.1	0.6797	-0.167682730077738
1.102	0.6788	-0.168258166354362
1.104	0.6783	-0.168578182934978
1.106	0.6778	-0.168898435498641
1.108	0.6774	-0.169154807691388
1.11	0.677	-0.169411331314856
1.112	0.6765	-0.169732199066358
1.114	0.6759	-0.170117553556507
1.116	0.6751	-0.17063189201118
1.118	0.6745	-0.171018045992077
1.12	0.6741	-0.171275672861209
1.122	0.6732	-0.171855892696214
1.124	0.6727	-0.172178572317198
1.126	0.6724	-0.172372295232567
1.128	0.6716	-0.172889312533989
1.13	0.6706	-0.173536450907199
1.132	0.6702	-0.173795576500747
1.134	0.6698	-0.174054856796152
1.136	0.6694	-0.174314291978242
1.138	0.669	-0.174573882232177
1.14	0.6686	-0.17483362774345
1.142	0.6682	-0.175093528697887
1.144	0.6675	-0.175548729963387
1.146	0.6668	-0.176004408844032
1.15	0.6665	-0.176199846250122
1.152	0.6663	-0.176330186731864
1.154	0.6658	-0.176656209179351
1.156	0.6654	-0.176917203467196
1.158	0.6652	-0.177047759452518
1.16	0.6646	-0.177439663057308
1.162	0.6638	-0.177962751927415
1.164	0.6634	-0.178224532816536
1.166	0.6631	-0.178420972087991
1.168	0.663	-0.178486471595227
1.17	0.6627	-0.178683029408903
1.172	0.6621	-0.179076412118682
1.174	0.6616	-0.17940450345551
1.176	0.6613	-0.179601477296018
1.178	0.6606	-0.180061430644605
1.18	0.6601	-0.180390267248415
1.182	0.6593	-0.180916924256297
1.184	0.659	-0.18111458540599
1.186	0.6584	-0.181510177795787
1.188	0.6579	-0.181840113602815
1.19	0.6573	-0.182236367719632
1.194	0.6571	-0.182368532809485
1.196	0.6566	-0.182699121606679
1.198	0.6561	-0.1830299622427
1.2	0.6557	-0.183294816333485
1.202	0.655	-0.183758700008217
1.204	0.6543	-0.184223079701637
1.206	0.6537	-0.184621515034082
1.208	0.6533	-0.184887341810187
1.21	0.653	-0.185086818724926
1.212	0.6527	-0.185286387304023
1.214	0.6526	-0.185352930548144
1.216	0.6518	-0.185885643870875
1.218	0.6515	-0.186085579951397
1.22	0.6508	-0.186552455735179
1.222	0.6505	-0.186752699102395
1.224	0.6501	-0.18701983396052
1.226	0.6495	-0.187420844590953
1.228	0.6491	-0.187688390868876
1.23	0.6486	-0.188023055663046
1.232	0.6482	-0.188290973303809
1.234	0.6479	-0.188492020054673
1.236	0.6476	-0.188693159918664
1.238	0.6471	-0.189028600177793
1.24	0.6469	-0.189162848859512
1.242	0.6468	-0.189229988765636
1.244	0.6464	-0.18949865223347
1.246	0.6459	-0.18983471545685
1.248	0.6455	-0.190103753397561
1.25	0.6448	-0.190574971202966
1.252	0.6445	-0.190777078310578
1.254	0.644	-0.191114132640188
1.256	0.6437	-0.191316490871031
1.258	0.6426	-0.192059278784501
1.26	0.6421	-0.192397330083505
1.262	0.642	-0.192464971931147
1.264	0.6415	-0.192803339289053
1.266	0.641	-0.193141970481183
1.268	0.6407	-0.193345276008139
1.27	0.6403	-0.193616498175832
1.272	0.6396	-0.194091544925803
1.274	0.639	-0.1944991418416
1.276	0.6386	-0.194771085796574
1.278	0.6378	-0.19531548509306
1.28	0.637	-0.19586056766465
1.282	0.6368	-0.195996945270387
1.284	0.636	-0.196542884351586
1.286	0.6354	-0.196952789508871
1.288	0.6346	-0.197499932235607
1.29	0.6341	-0.197842246813038
1.292	0.6334	-0.198321940964107
1.294	0.6329	-0.198664904325453
1.296	0.6326	-0.198870812420296
1.298	0.6324	-0.199008138739829
1.3	0.6321	-0.199214209672237
1.302	0.6318	-0.19942037843087
1.304	0.6314	-0.199695422443801
1.306	0.631	-0.199970640755866
1.308	0.6309	-0.200039472594016
1.31	0.6307	-0.20017716900668
1.312	0.6302	-0.200521601162019
1.314	0.6299	-0.200728391650127
1.316	0.6293	-0.201142268252514
1.318	0.6289	-0.201418405271452
1.32	0.6283	-0.201832940284061
1.322	0.6276	-0.202317065085101
1.324	0.627	-0.202732459169284
1.326	0.6265	-0.203078924669831
1.328	0.626	-0.20342566678957
1.33	0.6257	-0.203633845022479
1.332	0.6254	-0.203842123093086
1.334	0.6246	-0.20439802010582
1.336	0.6241	-0.204745817419117
1.338	0.6234	-0.205233202059179
1.34	0.6227	-0.2057211342786
1.342	0.6219	-0.206279443186477
1.344	0.6215	-0.206558867022336
1.346	0.6208	-0.207048291749868
1.348	0.6202	-0.207468238098692
1.35	0.62	-0.207608310501746
1.352	0.6197	-0.207818503850321
1.354	0.6191	-0.208239195987095
1.356	0.6189	-0.208379517307186
1.358	0.6183	-0.208800753501125
1.36	0.6178	-0.209152096034568
1.362	0.6175	-0.209363038068297
1.364	0.6171	-0.209644453585614
1.366	0.6167	-0.209926051573695
1.368	0.6164	-0.210137369953618
1.37	0.6158	-0.210560315432821
1.372	0.6153	-0.210913084911971
1.374	0.6147	-0.211336786879143
1.376	0.6144	-0.211548792976544
1.378	0.6141	-0.211760902617832
1.38	0.6139	-0.211902366619703
1.382	0.6133	-0.212327035312507
1.384	0.6131	-0.212468683872766
1.386	0.6127	-0.212752119668046
1.388	0.6125	-0.21289390696343
1.39	0.6122	-0.213106674738684
1.392	0.6117	-0.213461519502198
1.394	0.6113	-0.21374560421022
1.396	0.6109	-0.21402987486799
1.398	0.6103	-0.214456630043407
1.4	0.6096	-0.214955041668456
1.402	0.6092	-0.215240105335995
1.404	0.6086	-0.215668051977852
1.406	0.6082	-0.215953584191887
1.408	0.608	-0.216096420727265
1.41	0.6075	-0.21645371772965
1.412	0.6071	-0.216739767127051
1.414	0.6065	-0.217169194797408
1.416	0.6058	-0.217670731003163
1.418	0.6054	-0.217957583379446
1.42	0.6046	-0.218531857158202
1.422	0.6042	-0.218819279062738
1.424	0.6041	-0.218891164270534
1.426	0.6035	-0.219322725566632
1.428	0.6032	-0.219538667138282
1.432	0.6028	-0.219826756357406
1.434	0.6024	-0.220115036807356
1.436	0.6019	-0.22047565667521
1.438	0.6017	-0.220619988508344
1.44	0.601	-0.22112552799726
1.442	0.6006	-0.221414672137038
1.444	0.6	-0.221848749616356
1.446	0.5999	-0.221921138062545
1.448	0.5996	-0.222138375823758
1.45	0.5993	-0.222355722303515
1.452	0.5989	-0.222645686915791
1.454	0.5985	-0.22293584525757
1.456	0.5981	-0.223226197587893
1.458	0.5975	-0.223662090379825
1.46	0.5972	-0.223880200947012
1.462	0.5968	-0.224171185535388
1.464	0.5966	-0.224316750973956
1.466	0.5963	-0.224535190654261
1.468	0.5957	-0.224972399901155
1.47	0.5954	-0.225191169689294
1.472	0.5946	-0.225775095131081
1.474	0.5944	-0.225921199247481
1.476	0.5936	-0.226506107729029
1.478	0.5931	-0.226872075966665
1.48	0.5928	-0.227091805028728
1.482	0.5924	-0.227384950150829
1.484	0.5917	-0.227898430722988
1.486	0.5916	-0.227971834675145
1.488	0.5913	-0.228192121000894
1.49	0.5906	-0.22870655737094
1.492	0.5904	-0.228853651185015
1.494	0.5899	-0.229221603830852
1.496	0.5895	-0.229516190568892
1.498	0.5892	-0.229737261829407
1.5	0.5889	-0.229958445680331
1.502	0.5886	-0.230179742236408
1.504	0.5881	-0.230548820597962
1.506	0.5879	-0.230696539810918
1.508	0.5877	-0.230844309285601
1.51	0.5873	-0.231139999157043
1.512	0.5867	-0.231583911783668
1.514	0.5862	-0.231954185897583
1.518	0.5858	-0.23225063265442
1.52	0.5852	-0.232695682546727
1.522	0.5849	-0.232918378636678
1.524	0.5846	-0.233141188978582
1.526	0.5841	-0.233512793760306
1.528	0.5839	-0.233661524748713
1.53	0.583	-0.234331445240986
1.532	0.5827	-0.23455498190985
