"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
82634	Rodentia	Heteromyidae	Dipodomyinae	Prodipodomys	kansensis	Prodipodomys kansensis	NA	hyp	NA	Prodipodomys kansensis	1	1	0	6.39	6.39	0	0	0	39.2	39.2	-101.5	-101.5	0
82798	Rodentia	Eomyidae	Eomyinae	Kansasimys	dubius	Kansasimys dubius	NA	mes	NA	Kansasimys dubius	2	1	1.94	8.33	6.39	0.0344988	0.027081558	0.185738525890565	39.2	35.7	-101.5	-102.3	0.97
83153	Rodentia	Muridae	Neotominae	Onychomys	martini	Onychomys martini	NA	hyp	NA	Onychomys martini	1	1	0	6.39	6.39	0	0	0	39.2	39.2	-101.5	-101.5	0
83194	Rodentia	Muridae	Sigmodontinae	Jacobsomys	pliocaenicus	Jacobsomys pliocaenicus	NA	mes	NA	Jacobsomys pliocaenicus	1	1	0	6.39	6.39	0	0	0	39.2	39.2	-101.5	-101.5	0
34716	Eulipotyphla	Soricidae	Soricinae	Tregosorex	holmani	Tregosorex holmani	NA	bra	NA	Tregosorex holmani	2	1	0	11.1	11.1	0.09055935	0.07108908975	0.300930806000316	39.1	35.6	-99.8	-101.9	0
80373	Carnivora	Mustelidae		Martes	stirtoni	Martes stirtoni	NA			Martes stirtoni	1	1	0	11.1	11.1	0	0	0	39.1	39.1	-99.8	-99.8	0
81661	Perissodactyla	Equidae	Equinae	Calippus	martini	Calippus martini	156000	hyp	L2323	Calippus martini	6	1	0.23	11.33	11.1	3.81852432	2.9975415912	1.95410448031829	43	28.1	-81.6	-102.4	0.0766666666666662
82479	Rodentia	Mylagaulidae	Mylagaulinae	Mylagaulus	minor	Mylagaulus minor	NA	hyp	NA	Mylagaulus minor	2	1	1.52	11.1	9.58	1.05972921	0.83188742985	1.02943149844951	43.8	39.1	-99.8	-118.1	0.76
82724	Rodentia	Dipodidae	Sicistinae	Macrognathomys	nanus	Macrognathomys nanus	NA	bra	NA	Macrognathomys nanus	4	1	3.87	11.1	7.23	1.19168712	0.9354743892	1.09164422775921	43.8	38.6	-99.8	-118.4	2.5225
83832	Eulipotyphla	Soricidae	Soricinae	Anchiblarinella	wakeeneyensis	Anchiblarinella wakeeneyensis	NA	bra	NA	Anchiblarinella wakeeneyensis	1	1	0	11.1	11.1	0	0	0	39.1	39.1	-99.8	-99.8	0
83833	Eulipotyphla	Soricidae	Soricinae	Petenyia	concise	Petenyia concise	NA	bra	NA	Petenyia concise	1	1	0	11.1	11.1	0	0	0	39.1	39.1	-99.8	-99.8	0
84241	Rodentia	Castoridae	Castoroidinae	Eucastor	phillisi	Eucastor phillisi	NA	hyp	NA	Eucastor phillisi	1	1	0	11.1	11.1	0	0	0	39.1	39.1	-99.8	-99.8	0
81855	Proboscidea	Gomphotheriidae		Torynobelodon	loomisi	Torynobelodon loomisi	NA	bra	R3300	Torynobelodon loomisi	2	1	0	7.23	7.23	2.57570505	2.02192846425	1.60490032400769	39.4	28.1	-81.6	-100.1	0
81627	Perissodactyla	Equidae	Equinae	Pseudohipparion	simpsoni	Pseudohipparion simpsoni	NA	hyp	L2323	Pseudohipparion simpsoni	4	1	0	5.41	5.41	2.96258445	2.32562879325	1.72121598005596	38.5	28	-78.6	-101.5	0
80340	Carnivora	Mephitidae	NA	Buisnictis	breviramus	Buisnictis breviramus	285			Buisnictis breviramus	7	1	1.56	3.77	2.21	4.8594024	3.814630884	2.20440522590562	47	32.5	-95.7	-122.9	1.56
80349	Carnivora	Mephitidae	Mephitini	Mephitis	rexroadensis	Mephitis rexroadensis	NA			Mephitis rexroadensis	1	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
80543	Carnivora	Hyaenidae		Chasmaporthetes	ossifragus	Chasmaporthetes ossifragus	46451			Chasmaporthetes ossifragus	13	2	2.01	3.77	1.76	6.80180805	5.33941931925	2.60802761680163	39.1	21	-81.6	-112.1	1.155
81486	Artiodactyla	Cervidae	Odocoilini	Odocoileus	brachydontus	Odocoileus brachydontus	NA	bra	L2220	Odocoileus brachydontus	3	1	1.56	3.77	2.21	0.06801192	0.0533893572	0.26079095076325	39.1	29.9	-95.1	-95.7	1.04
82613	Rodentia	Heteromyidae	Perognathinae	Perognathus	pearlettensis	Perognathus pearlettensis	NA	mes	NA	Perognathus pearlettensis	10	1	8.89	11.1	2.21	1.823508	1.43145378	1.3503732817262	39.9	29.9	-95.1	-109.9	0
82614	Rodentia	Heteromyidae	Perognathinae	Perognathus	rexroadensis	Perognathus rexroadensis	NA	mes	NA	Perognathus rexroadensis	4	1	1.56	3.77	2.21	0.77080176	0.6050793816	0.877953165037862	39.1	29.9	-95.1	-101.9	0.39
82699	Rodentia	Geomyidae	Geomyinae	Geomys	adamsi	Geomys adamsi	NA	hys	NA	Geomys adamsi	2	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
82734	Rodentia	Dipodidae	Zapodinae	Zapus	rinkeri	Zapus rinkeri	NA	mes	NA	Zapus rinkeri	2	1	0	3.77	3.77	0	0	0	39.1	39.1	-95.7	-95.7	0
