Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Primates other	362	-0.482	-0.521	0.932	-0.739	-0.094	0.526	0.278	-0.118	0.65	0.214	-0.016	0.205	-1.137	-0.688	0.739	Exponential	0.932
Hominidae not Hominini	34	-0.618	-0.938	0.97	-0.747	-0.852	0.845	0.217	-0.222	0.817	0.183	-0.184	0.591	-1.337	-0.572	0.885	Exponential	0.97
Hominini	13	-0.27	-0.1	0.935	-0.354	-0.011	0.808	0.52	-0.06	0.736	0.463	-0.006	0.54	-0.535	-0.351	0.813	Exponential	0.935
Primates	409	-0.575	-0.325	0.849	-0.767	-0.036	0.48	0.25	-0.066	0.481	0.207	-0.005	0.149	-1.116	-0.679	0.786	Exponential	0.849
Primates other	364	-0.525	-0.476	0.893	-0.761	-0.074	0.486	0.264	-0.102	0.575	0.209	-0.012	0.172	-1.16	-0.688	0.752	Exponential	0.893
Hominidae not Hominini	36	-0.578	-1.55	0.937	-0.686	-2.451	0.864	0.244	-0.403	0.774	0.212	-0.59	0.613	-1.489	-0.625	0.918	Exponential	0.937
Hominini	13	-0.24	-0.098	0.898	-0.314	-0.011	0.798	0.563	-0.063	0.694	0.509	-0.006	0.534	-0.495	-0.401	0.852	Exponential	0.898
Primates	413	-0.595	-0.305	0.828	-0.766	-0.034	0.491	0.247	-0.061	0.446	0.209	-0.005	0.151	-1.136	-0.665	0.8	Exponential	0.828
Hominidae not Hominini	40	-0.692	-1.479	0.975	-0.821	-2.191	0.872	0.183	-0.296	0.815	0.154	-0.401	0.609	-1.52	-0.563	0.888	Exponential	0.975
Primates other	365	-0.48	-0.503	0.936	-0.744	-0.088	0.536	0.277	-0.113	0.64	0.212	-0.015	0.211	-1.131	-0.721	0.748	Exponential	0.936
Hominini	13	-0.277	-0.098	0.834	-0.328	-0.011	0.761	0.536	-0.061	0.604	0.499	-0.007	0.488	-0.567	-0.308	0.8	Exponential	0.834
Primates	418	-0.585	-0.32	0.852	-0.779	-0.037	0.504	0.244	-0.063	0.47	0.202	-0.005	0.157	-1.118	-0.684	0.779	Exponential	0.852
Hominini	13	-0.301	-0.095	0.954	-0.387	-0.01	0.837	0.479	-0.053	0.785	0.425	-0.005	0.588	-0.552	-0.364	0.84	Exponential	0.954
Primates other	366	-0.539	-0.462	0.913	-0.777	-0.077	0.542	0.251	-0.093	0.587	0.198	-0.012	0.197	-1.171	-0.718	0.766	Exponential	0.913
Hominidae not Hominini	37	-0.551	-1.525	0.979	-0.69	-2.348	0.944	0.238	-0.378	0.909	0.199	-0.532	0.734	-1.334	-0.497	0.727	Exponential	0.979
Primates	416	-0.612	-0.305	0.855	-0.794	-0.035	0.521	0.232	-0.057	0.47	0.194	-0.005	0.165	-1.149	-0.694	0.807	Exponential	0.855
Primates other	360	-0.529	-0.453	0.905	-0.783	-0.07	0.513	0.257	-0.095	0.591	0.198	-0.011	0.185	-1.151	-0.703	0.752	Exponential	0.905
Hominini	13	-0.272	-0.105	0.939	-0.36	-0.011	0.787	0.518	-0.062	0.732	0.459	-0.006	0.515	-0.544	-0.392	0.88	Exponential	0.939
Primates	412	-0.604	-0.311	0.86	-0.803	-0.036	0.52	0.233	-0.059	0.485	0.191	-0.005	0.166	-1.134	-0.701	0.797	Exponential	0.86
