"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Primates other"	"350"	"-0.295"	"-0.315"	"0.968"	"0.325"	"-0.075"	"0.899"	"-0.811"	"-0.737"	"0.583"	"exponential"	"0.968"
"Hominidae not Hominini"	"36"	"-0.381"	"-0.279"	"0.971"	"0.341"	"-0.092"	"0.851"	"-0.829"	"-0.481"	"0.646"	"exponential"	"0.971"
"Primates"	"399"	"-0.283"	"-0.323"	"0.969"	"0.337"	"-0.079"	"0.892"	"-0.818"	"-0.698"	"0.567"	"exponential"	"0.969"
"Hominidae not Hominini"	"39"	"-0.369"	"-0.207"	"0.959"	"0.37"	"-0.084"	"0.866"	"-0.674"	"-0.648"	"0.873"	"exponential"	"0.959"
"Primates other"	"358"	"-0.387"	"-0.277"	"0.992"	"0.283"	"-0.059"	"0.812"	"-0.855"	"-0.676"	"0.594"	"exponential"	"0.992"
"Hominini"	"13"	"0.177"	"-0.517"	"0.855"	"0.959"	"-0.429"	"0.946"	"-0.44"	"-0.602"	"0.483"	"linear"	"0.946"
"Primates"	"410"	"-0.347"	"-0.287"	"0.993"	"0.308"	"-0.066"	"0.817"	"-0.828"	"-0.692"	"0.6"	"exponential"	"0.993"
"Primates other"	"369"	"-0.391"	"-0.279"	"0.995"	"0.298"	"-0.067"	"0.853"	"-0.857"	"-0.618"	"0.611"	"exponential"	"0.995"
"Hominidae not Hominini"	"42"	"-0.519"	"-0.231"	"0.957"	"0.253"	"-0.059"	"0.888"	"-0.879"	"-0.68"	"0.825"	"exponential"	"0.957"
"Hominini"	"13"	"0.39"	"-0.686"	"0.949"	"1.11"	"-0.547"	"0.97"	"-0.346"	"-1.769"	"0.882"	"linear"	"0.97"
"Primates"	"424"	"-0.367"	"-0.288"	"0.995"	"0.309"	"-0.071"	"0.851"	"-0.84"	"-0.658"	"0.621"	"exponential"	"0.995"
"Primates other"	"358"	"-0.414"	"-0.228"	"0.968"	"0.289"	"-0.05"	"0.748"	"-0.832"	"-0.645"	"0.614"	"exponential"	"0.968"
"Hominini"	"13"	"0.098"	"-0.517"	"0.791"	"0.868"	"-0.414"	"0.947"	"-0.499"	"-0.579"	"0.498"	"linear"	"0.947"
"Hominidae not Hominini"	"36"	"-0.375"	"-0.214"	"0.955"	"0.358"	"-0.086"	"0.862"	"-0.67"	"-0.577"	"0.801"	"exponential"	"0.955"
"Primates"	"407"	"-0.384"	"-0.237"	"0.972"	"0.3"	"-0.053"	"0.742"	"-0.803"	"-0.671"	"0.607"	"exponential"	"0.972"
"Primates other"	"363"	"-0.415"	"-0.238"	"0.965"	"0.282"	"-0.05"	"0.734"	"-0.825"	"-0.715"	"0.627"	"exponential"	"0.965"
