"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"19"	"-0.361"	"-0.11"	"0.821"	"-0.413"	"-0.012"	"0.696"	"0.451"	"-0.055"	"0.541"	"0.42"	"-0.006"	"0.391"	"-0.729"	"-0.304"	"0.882"	"Power"	"0.882"
"Hominidae not Hominini"	"33"	"-0.648"	"-0.898"	"0.941"	"-0.752"	"-0.824"	"0.82"	"0.211"	"-0.212"	"0.742"	"0.184"	"-0.18"	"0.552"	"-1.377"	"-0.576"	"0.942"	"Power"	"0.942"
"Primates"	"429"	"-0.591"	"-0.308"	"0.863"	"-0.773"	"-0.035"	"0.521"	"0.241"	"-0.06"	"0.477"	"0.202"	"-0.005"	"0.163"	"-1.114"	"-0.651"	"0.78"	"Exponential"	"0.863"
"Primates other"	"359"	"-0.478"	"-0.511"	"0.932"	"-0.721"	"-0.091"	"0.53"	"0.285"	"-0.118"	"0.613"	"0.224"	"-0.016"	"0.2"	"-1.129"	"-0.691"	"0.748"	"Exponential"	"0.932"
"Hominini"	"24"	"-0.569"	"-0.096"	"0.895"	"-0.625"	"-0.011"	"0.793"	"0.27"	"-0.031"	"0.687"	"0.249"	"-0.003"	"0.526"	"-0.898"	"-0.241"	"0.821"	"Exponential"	"0.895"
"Hominidae not Hominini"	"30"	"-0.617"	"-0.913"	"0.937"	"-0.732"	"-0.821"	"0.792"	"0.228"	"-0.234"	"0.719"	"0.195"	"-0.192"	"0.509"	"-1.348"	"-0.576"	"0.947"	"Power"	"0.947"
"Primates"	"413"	"-0.58"	"-0.326"	"0.852"	"-0.767"	"-0.037"	"0.492"	"0.249"	"-0.066"	"0.467"	"0.207"	"-0.006"	"0.152"	"-1.124"	"-0.672"	"0.788"	"Exponential"	"0.852"
"Primates other"	"370"	"-0.468"	"-0.523"	"0.916"	"-0.735"	"-0.086"	"0.484"	"0.286"	"-0.121"	"0.603"	"0.219"	"-0.015"	"0.176"	"-1.118"	"-0.705"	"0.726"	"Exponential"	"0.916"
"Hominidae not Hominini"	"32"	"-0.454"	"-1.61"	"0.959"	"-0.625"	"-2.381"	"0.934"	"0.281"	"-0.446"	"0.835"	"0.23"	"-0.621"	"0.719"	"-1.524"	"-0.928"	"0.923"	"Exponential"	"0.959"
"Hominini"	"20"	"-0.384"	"-0.113"	"0.884"	"-0.457"	"-0.012"	"0.729"	"0.414"	"-0.052"	"0.619"	"0.375"	"-0.005"	"0.426"	"-0.705"	"-0.338"	"0.845"	"Exponential"	"0.884"
"Primates"	"422"	"-0.563"	"-0.333"	"0.836"	"-0.758"	"-0.037"	"0.467"	"0.258"	"-0.069"	"0.447"	"0.214"	"-0.006"	"0.137"	"-1.11"	"-0.71"	"0.787"	"Exponential"	"0.836"
"Primates other"	"362"	"-0.517"	"-0.482"	"0.89"	"-0.758"	"-0.077"	"0.5"	"0.267"	"-0.104"	"0.53"	"0.21"	"-0.012"	"0.164"	"-1.155"	"-0.752"	"0.772"	"Exponential"	"0.89"
"Hominini"	"21"	"-0.542"	"-0.102"	"0.788"	"-0.612"	"-0.01"	"0.615"	"0.293"	"-0.035"	"0.526"	"0.267"	"-0.003"	"0.353"	"-0.813"	"-0.463"	"0.939"	"Power"	"0.939"
"Primates"	"414"	"-0.595"	"-0.335"	"0.821"	"-0.786"	"-0.037"	"0.455"	"0.243"	"-0.066"	"0.425"	"0.202"	"-0.005"	"0.129"	"-1.151"	"-0.741"	"0.812"	"Exponential"	"0.821"
"Primates other"	"364"	"-0.578"	"-0.449"	"0.908"	"-0.815"	"-0.073"	"0.544"	"0.228"	"-0.082"	"0.565"	"0.18"	"-0.01"	"0.195"	"-1.177"	"-0.683"	"0.722"	"Exponential"	"0.908"
"Hominidae not Hominini"	"32"	"-0.453"	"-1.169"	"0.914"	"-0.596"	"-1.034"	"0.715"	"0.324"	"-0.388"	"0.664"	"0.272"	"-0.304"	"0.41"	"-1.297"	"-0.651"	"0.893"	"Exponential"	"0.914"
"Hominini"	"21"	"-0.34"	"-0.12"	"0.831"	"-0.405"	"-0.013"	"0.684"	"0.469"	"-0.06"	"0.536"	"0.431"	"-0.006"	"0.367"	"-0.694"	"-0.354"	"0.866"	"Power"	"0.866"
"Primates"	"417"	"-0.634"	"-0.296"	"0.842"	"-0.811"	"-0.034"	"0.522"	"0.222"	"-0.053"	"0.446"	"0.187"	"-0.005"	"0.162"	"-1.151"	"-0.675"	"0.785"	"Exponential"	"0.842"
"Hominini"	"22"	"-0.428"	"-0.104"	"0.866"	"-0.49"	"-0.011"	"0.75"	"0.376"	"-0.044"	"0.619"	"0.346"	"-0.004"	"0.46"	"-0.74"	"-0.352"	"0.865"	"Exponential"	"0.866"
"Primates other"	"350"	"-0.491"	"-0.482"	"0.946"	"-0.713"	"-0.095"	"0.616"	"0.276"	"-0.108"	"0.627"	"0.221"	"-0.016"	"0.241"	"-1.121"	"-0.663"	"0.742"	"Exponential"	"0.946"
