"species"	"hexcount"
"Equus_ferus_Centroid"	33203
"Equus_francisci_Centroid"	3829
"Equus_grevyi_Centroid"	440
"Equus_hemionus_Centroid"	4547
"Equus_hydruntinus_Centroid"	2471
"Equus_kiang_Centroid"	865
"Equus_ovodovi_Centroid"	5339
"Equus_quagga_Centroid"	2993
"Equus_zebra_Centroid"	320
"Hippidion_devillei_Centroid"	341
"Hippidion_principale_Centroid"	4940
"Rhinoceros_sondaicus_Centroid"	1429
"Rhinoceros_unicornis_Centroid"	388
"Stephanorhinus_hemitoechus_Centroid"	4619
"Stephanorhinus_kirchbergensis_Centroid"	8864
"Tapirus_augustus_Centroid"	1627
"Tapirus_bairdii_Centroid"	533
"Tapirus_indicus_Centroid"	650
"Tapirus_merriami_Centroid"	2247
"Tapirus_pinchaque_Centroid"	227
"Tapirus_rondoniensis_Centroid"	4522
"Tapirus_terrestris_Centroid"	5570
"Tapirus_veroensis_Centroid"	3963
"Cuvieronius_hyodon_Centroid"	1139
"Elephas_antiquus_Centroid"	3409
"Elephas_cypriotes_Centroid"	23
"Elephas_iolensis_Centroid"	4475
"Elephas_maximus_Centroid"	4653
"Elephas_mnaidriensis_Centroid"	26
"Elephas_namadicus_Centroid"	79
"Elephas_naumanii_Centroid"	239
"Elephas_tiliensis_Centroid"	3
"Loxodonta_africana_Centroid"	10037
"Mammut_americanum_Centroid"	5918
"Mammuthus_columbi_Centroid"	6095
"Mammuthus_exilis_Centroid"	8
"Mammuthus_primigenius_Centroid"	11789
"Notiomastodon_platensis_Centroid"	5962
"Stegodon_florensis_Centroid"	25
"Stegodon_orientalis_Centroid"	1420
"Stegodon_trigonocephalus_Centroid"	112
